season,week,method,celebrity_name,judge_score,judge_pct,fan_vote_est,fan_vote_std,is_eliminated,is_valid,final_placement
1,1,rank,John O'Hurley,20.0,0.1834862385321101,0.1834862385321101,0.1,False,True,2
1,1,rank,Kelly Monaco,13.0,0.11926605504587157,0.11926605504587157,0.1,False,True,1
1,1,rank,Evander Holyfield,18.0,0.1651376146788991,0.1651376146788991,0.1,False,True,5
1,1,rank,Rachel Hunter,20.0,0.1834862385321101,0.1834862385321101,0.1,False,True,4
1,1,rank,Joey McIntyre,20.0,0.1834862385321101,0.1834862385321101,0.1,False,True,3
1,1,rank,Trista Sutter,18.0,0.1651376146788991,0.1651376146788991,0.1,False,True,6
1,2,rank,John O'Hurley,26.0,0.21487603305785125,0.15858235853050323,0.08,False,True,2
1,2,rank,Kelly Monaco,17.0,0.14049586776859505,0.18512221407198703,0.08,False,True,1
1,2,rank,Evander Holyfield,14.0,0.11570247933884298,0.2234275108044597,0.08,False,True,5
1,2,rank,Rachel Hunter,24.0,0.19834710743801653,0.17696606093248843,0.08,False,True,4
1,2,rank,Joey McIntyre,21.0,0.17355371900826447,0.1316000567808097,0.08,False,True,3
1,2,rank,Trista Sutter,19.0,0.15702479338842976,0.12430179887975196,0.08,True,True,6
1,3,rank,John O'Hurley,24.0,0.22641509433962265,0.18230159857345368,0.08,False,True,2
1,3,rank,Kelly Monaco,21.0,0.19811320754716982,0.21873447297506848,0.08,False,True,1
1,3,rank,Evander Holyfield,13.0,0.12264150943396226,0.17403389220096233,0.08,True,True,5
1,3,rank,Rachel Hunter,26.0,0.24528301886792453,0.21789392272918515,0.08,False,True,4
1,3,rank,Joey McIntyre,22.0,0.20754716981132076,0.20703611352133036,0.08,False,True,3
1,4,rank,John O'Hurley,21.0,0.22826086956521738,0.27378250717986763,0.08,False,True,2
1,4,rank,Kelly Monaco,26.0,0.2826086956521739,0.23967118133018364,0.08,False,True,1
1,4,rank,Rachel Hunter,25.0,0.2717391304347826,0.23818953801397205,0.08,True,True,4
1,4,rank,Joey McIntyre,20.0,0.21739130434782608,0.24835677347597668,0.08,False,True,3
1,5,rank,John O'Hurley,27.0,0.3698630136986301,0.3698630136986301,0.1,False,True,2
1,5,rank,Kelly Monaco,23.5,0.3219178082191781,0.3219178082191781,0.1,False,True,1
1,5,rank,Joey McIntyre,22.5,0.3082191780821918,0.3082191780821918,0.1,False,True,3
1,6,rank,John O'Hurley,27.0,0.4954128440366973,0.4954128440366973,0.1,False,True,2
1,6,rank,Kelly Monaco,27.5,0.5045871559633027,0.5045871559633027,0.1,False,True,1
2,1,rank,Tatum O'Neal,23.0,0.11794871794871795,0.08608284403623336,0.08,False,True,9
2,1,rank,Tia Carrere,20.0,0.10256410256410256,0.13108904882456568,0.08,False,True,6
2,1,rank,George Hamilton,18.0,0.09230769230769231,0.09867894965030825,0.08,False,True,5
2,1,rank,Lisa Rinna,19.0,0.09743589743589744,0.08097666093149149,0.08,False,True,4
2,1,rank,Stacy Keibler,22.0,0.11282051282051282,0.12355296206483576,0.08,False,True,3
2,1,rank,Jerry Rice,21.0,0.1076923076923077,0.107576322672678,0.08,False,True,2
2,1,rank,Giselle Fernandez,23.0,0.11794871794871795,0.09053213018935115,0.08,False,True,8
2,1,rank,Master P,12.0,0.06153846153846154,0.10731672925448188,0.08,False,True,7
2,1,rank,Drew Lachey,24.0,0.12307692307692308,0.127393133213564,0.08,False,True,1
2,1,rank,Kenny Mayne,13.0,0.06666666666666667,0.04680121916249059,0.08,True,True,10
2,2,rank,Tatum O'Neal,17.0,0.085,0.1025969288183015,0.08,True,True,9
2,2,rank,Tia Carrere,22.0,0.11,0.1151107162212372,0.08,False,True,6
2,2,rank,George Hamilton,22.0,0.11,0.09586517413738144,0.08,False,True,5
